2026-01-27 16:38:35.964 | INFO     | app.api.v1.projects:crear_proyecto:142 | Proyecto creado exitosamente: IPEJOL (ID: 2)
2026-01-27 16:38:35.965 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.971s
2026-01-27 16:38:36.014 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/projects/2/cargar-padron | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:36.216 | WARNING  | app.main:validation_exception_handler:98 | Validación fallida: [{'type': 'missing', 'loc': ('body', 'archivo'), 'msg': 'Field required', 'input': None, 'url': 'https://errors.pydantic.dev/2.5/v/missing'}]
2026-01-27 16:38:36.223 | ERROR    | app.main:log_requests:80 | Error procesando request: Object of type FormData is not JSON serializable
2026-01-27 16:38:36.226 | ERROR    | app.main:global_exception_handler:111 | Error no manejado: Object of type FormData is not JSON serializable
2026-01-27 16:38:50.910 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/1 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:51.058 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.148s
2026-01-27 16:38:51.148 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/1/padron/estructura | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:52.326 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 1.178s
2026-01-27 16:38:56.355 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:56.528 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.173s
2026-01-27 16:39:07.956 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/logout | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:39:08.212 | INFO     | app.api.v1.auth:logout:158 | Logout exitoso para usuario: superadmin
2026-01-27 16:39:08.213 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.257s
2026-01-27 16:39:10.645 | INFO     | app.main:lifespan:33 | Apagando aplicación...
2026-01-27 16:47:34.867 | INFO     | app.main:lifespan:26 | Iniciando aplicación...
2026-01-27 16:47:34.869 | INFO     | app.main:lifespan:27 | Nombre: PDF Generation System
2026-01-27 16:47:34.869 | INFO     | app.main:lifespan:28 | Entorno: development
2026-01-27 16:50:23.586 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/login | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:23.590 | INFO     | app.api.v1.auth:login:36 | Intento de login desde IP: 127.0.0.1, User-Agent: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:23.591 | INFO     | app.auth:authenticate_user:87 | Intentando autenticar usuario: superadmin
2026-01-27 16:50:24.265 | WARNING  | app.auth:authenticate_user:100 | Contraseña incorrecta para usuario: superadmin
2026-01-27 16:50:24.277 | WARNING  | app.auth:register_failed_login:144 | Intento fallido de login para usuario: superadmin, IP: 127.0.0.1
2026-01-27 16:50:24.281 | WARNING  | app.api.v1.auth:login:44 | Login fallido para usuario: superadmin
2026-01-27 16:50:24.283 | INFO     | app.main:log_requests:84 | Response: 401 | Tiempo: 0.697s
2026-01-27 16:50:28.375 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/login | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:28.377 | INFO     | app.api.v1.auth:login:36 | Intento de login desde IP: 127.0.0.1, User-Agent: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:28.378 | INFO     | app.auth:authenticate_user:87 | Intentando autenticar usuario: superadmin
2026-01-27 16:50:28.877 | INFO     | app.auth:authenticate_user:103 | Usuario autenticado exitosamente: superadmin
2026-01-27 16:50:29.123 | INFO     | app.auth:update_last_login:126 | Último login actualizado para usuario: superadmin
2026-01-27 16:50:29.129 | DEBUG    | app.auth:create_access_token:46 | Token de acceso creado para superadmin, expira: 2026-01-28 22:50:29.124657
2026-01-27 16:50:29.130 | DEBUG    | app.auth:create_refresh_token:60 | Token de refresh creado para superadmin, expira: 2026-02-03 22:50:29.129585
2026-01-27 16:50:29.130 | INFO     | app.api.v1.auth:login:62 | Login exitoso para usuario: superadmin
2026-01-27 16:50:29.132 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.757s
2026-01-27 16:50:29.138 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:29.272 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.133s
2026-01-27 16:50:29.280 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:29.395 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.116s
2026-01-27 16:50:29.506 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:50:29.752 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.246s
2026-01-27 16:51:16.777 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:51:16.887 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.110s
2026-01-27 16:52:16.802 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:52:16.913 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.110s
2026-01-27 16:52:35.654 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/projects/ | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:52:35.759 | INFO     | app.api.v1.projects:crear_proyecto:42 | Creando nuevo proyecto: IPOJUL
2026-01-27 16:52:35.891 | INFO     | app.core.padron_manager:create_padron_table:97 | Tabla de padrón creada: padron_completo_6a0bb3e8
2026-01-27 16:52:36.023 | INFO     | app.api.v1.projects:crear_proyecto:142 | Proyecto creado exitosamente: IPOJUL (ID: 3)
